17/03/18 21:56:37 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.0-hadoop2
17/03/18 21:56:38 INFO client.RMProxy: Connecting to ResourceManager at cluster-3-m/10.138.0.2:8032
17/03/18 21:56:40 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/18 21:56:43 INFO input.FileInputFormat: Total input paths to process : 3033
17/03/18 21:56:43 INFO mapreduce.JobSubmitter: number of splits:3033
17/03/18 21:56:43 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1489773663325_0006
17/03/18 21:56:43 INFO impl.YarnClientImpl: Submitted application application_1489773663325_0006
17/03/18 21:56:43 INFO mapreduce.Job: The url to track the job: http://cluster-3-m:8088/proxy/application_1489773663325_0006/
17/03/18 21:56:43 INFO mapreduce.Job: Running job: job_1489773663325_0006
17/03/18 21:56:51 INFO mapreduce.Job: Job job_1489773663325_0006 running in uber mode : false
17/03/18 21:56:51 INFO mapreduce.Job:  map 0% reduce 0%
17/03/18 21:57:49 INFO mapreduce.Job:  map 1% reduce 0%
17/03/18 21:59:11 INFO mapreduce.Job:  map 2% reduce 0%
17/03/18 22:00:37 INFO mapreduce.Job:  map 3% reduce 0%
17/03/18 22:01:59 INFO mapreduce.Job:  map 4% reduce 0%
17/03/18 22:03:23 INFO mapreduce.Job:  map 5% reduce 0%
17/03/18 22:04:40 INFO mapreduce.Job:  map 6% reduce 0%
17/03/18 22:06:03 INFO mapreduce.Job:  map 7% reduce 0%
17/03/18 22:07:22 INFO mapreduce.Job:  map 8% reduce 0%
17/03/18 22:08:39 INFO mapreduce.Job:  map 9% reduce 0%
17/03/18 22:10:02 INFO mapreduce.Job:  map 10% reduce 0%
17/03/18 22:11:14 INFO mapreduce.Job:  map 11% reduce 0%
17/03/18 22:12:34 INFO mapreduce.Job:  map 12% reduce 0%
17/03/18 22:13:52 INFO mapreduce.Job:  map 13% reduce 0%
17/03/18 22:15:10 INFO mapreduce.Job:  map 14% reduce 0%
17/03/18 22:16:26 INFO mapreduce.Job:  map 15% reduce 0%
17/03/18 22:17:43 INFO mapreduce.Job:  map 16% reduce 0%
17/03/18 22:18:55 INFO mapreduce.Job:  map 17% reduce 0%
17/03/18 22:20:11 INFO mapreduce.Job:  map 18% reduce 0%
17/03/18 22:21:29 INFO mapreduce.Job:  map 19% reduce 0%
17/03/18 22:22:41 INFO mapreduce.Job:  map 20% reduce 0%
17/03/18 22:23:56 INFO mapreduce.Job:  map 21% reduce 0%
17/03/18 22:25:16 INFO mapreduce.Job:  map 22% reduce 0%
17/03/18 22:26:26 INFO mapreduce.Job:  map 23% reduce 0%
17/03/18 22:27:44 INFO mapreduce.Job:  map 24% reduce 0%
17/03/18 22:28:57 INFO mapreduce.Job:  map 25% reduce 0%
17/03/18 22:30:11 INFO mapreduce.Job:  map 26% reduce 0%
17/03/18 22:31:25 INFO mapreduce.Job:  map 27% reduce 0%
17/03/18 22:32:41 INFO mapreduce.Job:  map 28% reduce 0%
17/03/18 22:33:54 INFO mapreduce.Job:  map 29% reduce 0%
17/03/18 22:35:05 INFO mapreduce.Job:  map 30% reduce 0%
17/03/18 22:36:21 INFO mapreduce.Job:  map 31% reduce 0%
17/03/18 22:37:32 INFO mapreduce.Job:  map 32% reduce 0%
17/03/18 22:38:46 INFO mapreduce.Job:  map 33% reduce 0%
17/03/18 22:40:00 INFO mapreduce.Job:  map 34% reduce 0%
17/03/18 22:41:15 INFO mapreduce.Job:  map 35% reduce 0%
17/03/18 22:42:26 INFO mapreduce.Job:  map 36% reduce 0%
17/03/18 22:43:39 INFO mapreduce.Job:  map 37% reduce 0%
17/03/18 22:44:52 INFO mapreduce.Job:  map 38% reduce 0%
17/03/18 22:46:07 INFO mapreduce.Job:  map 39% reduce 0%
17/03/18 22:47:16 INFO mapreduce.Job:  map 40% reduce 0%
17/03/18 22:48:29 INFO mapreduce.Job:  map 41% reduce 0%
17/03/18 22:49:39 INFO mapreduce.Job:  map 42% reduce 0%
17/03/18 22:50:55 INFO mapreduce.Job:  map 43% reduce 0%
17/03/18 22:52:05 INFO mapreduce.Job:  map 44% reduce 0%
17/03/18 22:53:21 INFO mapreduce.Job:  map 45% reduce 0%
17/03/18 22:54:32 INFO mapreduce.Job:  map 46% reduce 0%
17/03/18 22:55:45 INFO mapreduce.Job:  map 47% reduce 0%
17/03/18 22:56:54 INFO mapreduce.Job:  map 48% reduce 0%
17/03/18 22:58:09 INFO mapreduce.Job:  map 49% reduce 0%
17/03/18 22:59:19 INFO mapreduce.Job:  map 50% reduce 0%
17/03/18 23:00:11 INFO mapreduce.Job:  map 50% reduce 1%
17/03/18 23:01:00 INFO mapreduce.Job:  map 51% reduce 1%
17/03/18 23:03:20 INFO mapreduce.Job:  map 52% reduce 1%
17/03/18 23:05:45 INFO mapreduce.Job:  map 53% reduce 1%
17/03/18 23:08:06 INFO mapreduce.Job:  map 54% reduce 1%
17/03/18 23:09:24 INFO mapreduce.Job:  map 54% reduce 2%
17/03/18 23:10:31 INFO mapreduce.Job:  map 55% reduce 2%
17/03/18 23:12:59 INFO mapreduce.Job:  map 56% reduce 2%
17/03/18 23:15:19 INFO mapreduce.Job:  map 57% reduce 2%
17/03/18 23:17:40 INFO mapreduce.Job:  map 58% reduce 2%
17/03/18 23:20:02 INFO mapreduce.Job:  map 59% reduce 2%
17/03/18 23:22:22 INFO mapreduce.Job:  map 60% reduce 2%
17/03/18 23:24:49 INFO mapreduce.Job:  map 61% reduce 2%
17/03/18 23:27:17 INFO mapreduce.Job:  map 62% reduce 2%
17/03/18 23:29:37 INFO mapreduce.Job:  map 63% reduce 2%
17/03/18 23:31:54 INFO mapreduce.Job:  map 64% reduce 2%
17/03/18 23:34:17 INFO mapreduce.Job:  map 65% reduce 2%
17/03/18 23:36:34 INFO mapreduce.Job:  map 66% reduce 2%
17/03/18 23:38:56 INFO mapreduce.Job:  map 67% reduce 2%
17/03/18 23:41:23 INFO mapreduce.Job:  map 68% reduce 2%
17/03/18 23:43:44 INFO mapreduce.Job:  map 69% reduce 2%
17/03/18 23:46:04 INFO mapreduce.Job:  map 70% reduce 2%
17/03/18 23:48:29 INFO mapreduce.Job:  map 71% reduce 2%
17/03/18 23:50:52 INFO mapreduce.Job:  map 72% reduce 2%
17/03/18 23:53:14 INFO mapreduce.Job:  map 73% reduce 2%
17/03/18 23:55:35 INFO mapreduce.Job:  map 74% reduce 2%
17/03/18 23:57:56 INFO mapreduce.Job:  map 75% reduce 2%
17/03/19 00:00:20 INFO mapreduce.Job:  map 76% reduce 2%
17/03/19 00:02:41 INFO mapreduce.Job:  map 77% reduce 2%
17/03/19 00:05:02 INFO mapreduce.Job:  map 78% reduce 2%
17/03/19 00:07:22 INFO mapreduce.Job:  map 79% reduce 2%
17/03/19 00:09:41 INFO mapreduce.Job:  map 80% reduce 2%
17/03/19 00:11:58 INFO mapreduce.Job:  map 81% reduce 2%
17/03/19 00:14:17 INFO mapreduce.Job:  map 82% reduce 2%
17/03/19 00:16:37 INFO mapreduce.Job:  map 83% reduce 2%
17/03/19 00:18:50 INFO mapreduce.Job:  map 84% reduce 2%
17/03/19 00:21:13 INFO mapreduce.Job:  map 85% reduce 2%
17/03/19 00:23:41 INFO mapreduce.Job:  map 86% reduce 2%
17/03/19 00:25:54 INFO mapreduce.Job:  map 87% reduce 2%
17/03/19 00:28:13 INFO mapreduce.Job:  map 88% reduce 2%
17/03/19 00:30:38 INFO mapreduce.Job:  map 89% reduce 2%
17/03/19 00:32:54 INFO mapreduce.Job:  map 90% reduce 2%
17/03/19 00:34:12 INFO mapreduce.Job:  map 90% reduce 3%
17/03/19 00:35:20 INFO mapreduce.Job:  map 91% reduce 3%
17/03/19 00:37:37 INFO mapreduce.Job:  map 92% reduce 3%
17/03/19 00:39:55 INFO mapreduce.Job:  map 93% reduce 3%
17/03/19 00:42:18 INFO mapreduce.Job:  map 94% reduce 3%
17/03/19 00:44:40 INFO mapreduce.Job:  map 95% reduce 3%
17/03/19 00:46:56 INFO mapreduce.Job:  map 96% reduce 3%
17/03/19 00:49:13 INFO mapreduce.Job:  map 97% reduce 3%
17/03/19 00:51:35 INFO mapreduce.Job:  map 98% reduce 3%
17/03/19 00:53:53 INFO mapreduce.Job:  map 99% reduce 3%
17/03/19 00:56:09 INFO mapreduce.Job:  map 100% reduce 3%
17/03/19 00:57:23 INFO mapreduce.Job:  map 100% reduce 6%
17/03/19 00:57:26 INFO mapreduce.Job:  map 100% reduce 8%
17/03/19 00:57:28 INFO mapreduce.Job:  map 100% reduce 13%
17/03/19 00:57:31 INFO mapreduce.Job:  map 100% reduce 14%
17/03/19 00:57:34 INFO mapreduce.Job:  map 100% reduce 16%
17/03/19 00:57:37 INFO mapreduce.Job:  map 100% reduce 17%
Job output is complete
